Attitude-X, Attitude-Y, Attitude-Z
-0.01416016, -0.9707031, -0.1982422
-0.01416016, -0.9707031, -0.1982422
-0.01416016, -0.9707031, -0.1982422
-0.04150391, -0.9643555, -0.112793
-0.04150391, -0.9643555, -0.112793
-0.04150391, -0.9643555, -0.112793
-0.04150391, -0.9643555, -0.112793
-0.04150391, -0.9643555, -0.112793
0.04736328, -0.9902344, -0.06445313
0.04736328, -0.9902344, -0.06445313
0.04736328, -0.9902344, -0.06445313
0.08398438, -0.9472656, -0.01416016
0.08398438, -0.9472656, -0.01416016
0.08398438, -0.9472656, -0.01416016
0.004882813, -0.8969727, 0.07666016
0.004882813, -0.8969727, 0.07666016
0.004882813, -0.8969727, 0.07666016
-0.03955078, -0.8120117, 0.08886719
-0.03955078, -0.8120117, 0.08886719
-0.03955078, -0.8120117, 0.08886719
-0.03955078, -0.8120117, 0.08886719
-0.08203125, -0.6821289, 0.2529297
-0.08203125, -0.6821289, 0.2529297
-0.08203125, -0.6821289, 0.2529297
-0.078125, -0.4936523, 0.2495117
-0.078125, -0.4936523, 0.2495117
-0.078125, -0.4936523, 0.2495117
-0.078125, -0.4936523, 0.2495117
-0.04980469, -0.1342773, 0.2680664
-0.04980469, -0.1342773, 0.2680664
-0.04980469, -0.1342773, 0.2680664
-0.04980469, -0.1342773, 0.2680664
-0.046875, 0.515625, 0.2714844
-0.046875, 0.515625, 0.2714844
-0.046875, 0.515625, 0.2714844
-0.046875, 0.515625, 0.2714844
-0.046875, 0.515625, 0.2714844
-0.1035156, 0.8276367, 0.2026367
-0.1035156, 0.8276367, 0.2026367
-0.1035156, 0.8276367, 0.2026367
0.03466797, 0.4155273, -1.376953
0.03466797, 0.4155273, -1.376953
0.03466797, 0.4155273, -1.376953
0.07080078, 0.009765625, -0.1708984
0.07080078, 0.009765625, -0.1708984
0.07080078, 0.009765625, -0.1708984
0.07080078, 0.009765625, -0.1708984
0.0546875, 0.1381836, -1.560547
0.0546875, 0.1381836, -1.560547
0.0546875, 0.1381836, -1.560547
0.0546875, 0.1381836, -1.560547
0.0546875, 0.1381836, -1.560547
0.0546875, 0.1381836, -1.560547
0.3393555, 0.2402344, -0.8598633
0.3393555, 0.2402344, -0.8598633
0.3393555, 0.2402344, -0.8598633
0.04638672, 1.029297, -3.066895
0.04638672, 1.029297, -3.066895
0.04638672, 1.029297, -3.066895
0.04052734, 0.0546875, -0.5439453
0.04052734, 0.0546875, -0.5439453
0.04052734, 0.0546875, -0.5439453
0.04052734, 0.0546875, -0.5439453
0.04052734, 0.0546875, -0.5439453
0.04052734, 0.0546875, -0.5439453
0.1621094, 0.08105469, -1.351563
0.1621094, 0.08105469, -1.351563
0.1621094, 0.08105469, -1.351563
0.07128906, 0.05419922, -0.574707
0.07128906, 0.05419922, -0.574707
0.03808594, 0.1010742, -1.05957
0.03808594, 0.1010742, -1.05957
0.03808594, 0.1010742, -1.05957
0.03808594, 0.1010742, -1.05957
0.03808594, 0.1010742, -1.05957
-0.009765625, 0.0859375, -0.9609376
-0.009765625, 0.0859375, -0.9609376
-0.009765625, 0.0859375, -0.9609376
-0.009765625, 0.0859375, -0.9609376
-0.009765625, 0.0859375, -0.9609376
0.002929688, 0.08642578, -0.9682617
0.002929688, 0.08642578, -0.9682617
0.002929688, 0.08642578, -0.9682617
0.002929688, 0.08642578, -0.9682617
0.002929688, 0.08642578, -0.9682617
-0.0004882813, 0.09179688, -1.013184
-0.0004882813, 0.09179688, -1.013184
-0.0004882813, 0.09179688, -1.013184
-0.0004882813, 0.09179688, -1.013184
-0.0004882813, 0.09179688, -1.013184
-0.002441406, 0.08642578, -0.9755859
-0.002441406, 0.08642578, -0.9755859
-0.002441406, 0.08642578, -0.9755859
-0.002441406, 0.08642578, -0.9755859
-0.002441406, 0.08642578, -0.9755859
-0.001953125, 0.09228516, -1.009277
-0.001953125, 0.09228516, -1.009277
-0.001953125, 0.09228516, -1.009277
-0.001953125, 0.09228516, -1.009277
-0.001953125, 0.09228516, -1.009277
-0.001953125, 0.09228516, -1.009277
0.003417969, 0.08984375, -0.9931641
0.003417969, 0.08984375, -0.9931641
0.0009765625, 0.09033203, -0.9985352
0.0009765625, 0.09033203, -0.9985352
0.0009765625, 0.09033203, -0.9985352
0.0009765625, 0.09033203, -0.9985352
-0.004882813, 0.09228516, -0.9897461
-0.004882813, 0.09228516, -0.9897461
-0.004882813, 0.09228516, -0.9897461
-0.004882813, 0.09228516, -0.9897461
-0.004882813, 0.09228516, -0.9897461
-0.004882813, 0.09228516, -0.9897461
-0.004882813, 0.08837891, -0.9951172
-0.004882813, 0.08837891, -0.9951172
-0.002929688, 0.08740234, -0.9946289
-0.002929688, 0.08740234, -0.9946289
-0.002929688, 0.08740234, -0.9946289
0.1518555, -0.03662109, -0.7109375
0.1518555, -0.03662109, -0.7109375
0.1518555, -0.03662109, -0.7109375
0.1518555, -0.03662109, -0.7109375
0.1518555, -0.03662109, -0.7109375
0.1518555, -0.03662109, -0.7109375
-0.06689453, 0.09912109, -0.980957
-0.06689453, 0.09912109, -0.980957
0.04931641, 0.07666016, -0.8886719
0.04931641, 0.07666016, -0.8886719
